Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
37.8000	80.3819	66.9283	0.0000	4.3095	2.0000
37.9000	80.3515	66.9660	0.0000	4.3122	2.0000
38.0000	80.3211	67.0036	0.0000	4.3149	2.0000
38.1000	80.2907	67.0413	0.0000	4.3176	2.0000
38.2000	80.2603	67.0790	0.0000	4.3204	2.0000
38.3000	80.2298	67.1167	0.0000	4.3231	2.0000
38.4000	80.1994	67.1544	0.0000	4.3258	2.0000
38.5000	80.1690	67.1921	0.0000	4.3285	2.0000
38.6000	80.1089	67.2069	0.0000	4.3312	2.0000
38.7000	79.9856	67.1733	0.0000	4.3339	2.0000
38.8000	79.8623	67.1397	0.0000	4.3367	2.0000
38.9000	79.7390	67.1061	0.0000	4.3394	2.0000
39.0000	79.6157	67.0725	0.0000	4.3421	2.0000
39.1000	79.4925	67.0389	0.0000	4.3448	2.0000
39.2000	79.3692	67.0052	0.0000	4.3475	2.0000
39.3000	79.2459	66.9716	0.0000	4.3502	2.0000
39.4000	79.1226	66.9380	0.0000	4.3530	2.0000
39.5000	79.0475	66.9918	0.0000	4.3557	2.0000
39.6000	78.9911	67.0796	0.0000	4.3584	2.0000
39.7000	78.9348	67.1673	0.0000	4.3611	2.0000
39.8000	78.8784	67.2551	0.0000	4.3638	2.0000
39.9000	78.8220	67.3429	0.0000	4.3666	2.0000
40.0000	78.7656	67.4307	0.0000	4.3693	2.0000
40.1000	78.7093	67.5184	0.0000	4.3720	2.0000
40.2000	78.6529	67.6062	0.0000	4.3747	2.0000
40.3000	78.6600	67.6169	0.0000	4.3774	2.0000
40.4000	78.7359	67.5442	0.0000	4.3801	2.0000
40.5000	78.8118	67.4715	0.0000	4.3829	2.0000
40.6000	78.8877	67.3988	0.0000	4.3856	2.0000
40.7000	78.9636	67.3261	0.0000	4.3883	2.0000
40.8000	79.0394	67.2534	0.0000	4.3910	2.0000
40.9000	79.1153	67.1806	0.0000	4.3937	2.0000
41.0000	79.1912	67.1079	0.0000	4.3964	2.0000
41.1000	79.3429	67.1579	0.0000	4.3992	2.0000
41.2000	79.5702	67.3305	0.0000	4.4019	2.0000
41.3000	79.7976	67.5031	0.0000	4.4046	2.0000
41.4000	80.0250	67.6758	0.0000	4.4073	2.0000
41.5000	80.2523	67.8484	0.0000	4.4087	2.0000
41.6000	80.4797	68.0210	0.0000	4.4002	2.0000
41.7000	80.7071	68.1936	0.0000	4.3918	2.0000
41.8000	80.9344	68.3663	0.0000	4.3833	2.0000
41.9000	81.1182	68.5048	0.0000	4.3748	2.0000
42.0000	81.0729	68.4641	0.0000	4.3663	2.0000
42.1000	81.0277	68.4235	0.0000	4.3579	2.0000
42.2000	80.9824	68.3828	0.0000	4.3494	2.0000
42.3000	80.9372	68.3422	0.0000	4.3409	2.0000
42.4000	80.8919	68.3015	0.0000	4.3325	2.0000
42.5000	80.8466	68.2609	0.0000	4.3240	2.0000
42.6000	80.8014	68.2202	0.0000	4.3155	2.0000
42.7000	80.7561	68.1796	0.0000	4.3071	2.0000
42.8000	80.6898	68.1319	0.0000	4.2986	2.0000
42.9000	80.5634	68.0643	0.0000	4.2901	2.0000
43.0000	80.4371	67.9967	0.0000	4.2817	2.0000
43.1000	80.3107	67.9292	0.0000	4.2732	2.0000
43.2000	80.1844	67.8616	0.0000	4.2647	2.0000
43.3000	80.0581	67.7940	0.0000	4.2562	2.0000
43.4000	79.9317	67.7264	0.0000	4.2478	2.0000
43.5000	79.8054	67.6588	0.0000	4.2393	2.0000
43.6000	79.6790	67.5912	0.0000	4.2308	2.0000
43.7000	79.5498	67.3911	0.0000	4.2224	2.0000
