Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
43.3000	67.2857	64.3203	62.3301	5.4496	2.0000
43.4000	67.1335	64.2162	62.3289	5.4498	2.0000
43.5000	66.9813	64.1122	62.3277	5.4501	2.0000
43.6000	66.8291	64.0081	62.3265	5.4503	2.0000
43.7000	66.6769	63.9041	62.3253	5.4506	2.0000
43.8000	66.5247	63.8001	62.3241	5.4508	2.0000
43.9000	66.3725	63.6960	62.3229	5.4511	2.0000
44.0000	66.2202	63.5920	62.3217	5.4513	2.0000
44.1000	66.0680	63.4880	62.3205	5.4515	2.0000
44.2000	66.2277	63.7426	62.5405	5.4518	2.0000
44.3000	66.4072	64.0202	62.7746	5.4520	2.0000
44.4000	66.5868	64.2977	63.0087	5.4523	2.0000
44.5000	66.7663	64.5752	63.2429	5.4525	2.0000
44.6000	66.9459	64.8528	63.4770	5.4528	2.0000
44.7000	67.1254	65.1303	63.7111	5.4530	2.0000
44.8000	67.3050	65.4079	63.9453	5.4506	2.0000
44.9000	67.4845	65.6854	64.1794	5.4474	2.0000
45.0000	67.6640	65.9630	64.4135	5.4442	2.0000
45.1000	67.8436	66.2405	64.6477	5.4410	2.0000
45.2000	68.0231	66.5181	64.8818	5.4378	2.0000
45.3000	68.1955	66.7169	65.1094	5.4346	2.0000
45.4000	68.3578	66.8070	65.3282	5.4313	2.0000
